Creuss,ghosts,ghostsofcruess,ghostshs,cruesshs,ghosts_hs,creus,ghost,ghost_hs,,,,
Ixth,mahact,mahacths,mahactgenesorcerers,mahcat_hs,ixs,mahacat,mhact,,,,,
Arcturus,nomad,nomadhs,bestmad,nomad_hs,nmd,,,,,,,
Acheron,cabal,cabalhs,vuilrath,vuilrathhs,vuilrathcabal,dinos,vrc,vrc_hs,cabal_hc,vuilrath_hs,vulrath,vuilwrath
Elysium,titans,titanshs,titansoful,titansofulhs,titan,titans_hs,elisium,,,,,
TheDark,empyrean,empyreanhs,empy,empyhs,empyrean_hs,empy_hs,,,,,,
Naazir,nazir,naaz,,,,,,,,,,
Rokha,roka,rokh,,,,,,,,,,
Avar,avr,ava,,,,,,,,,,
Valk,vlk,vulk,,,,,,,,,,
Ylir,ylr,ylyr,,,,,,,,,,
ArchonVail,archonv,AV,arconvail,archonveil,archon_vail,archon_veil,arcon_vail,,,,,
Perimeter,peremeter,perymeter,prmtr,prmeter,primeter,primter,,,,,,
Ang,,,,,,,,,,,,
SemLore,sem_lore,slr,smlore,semlor,sem_lor,,,,,,,
Vorhal,vrhal,vrhl,vorhl,,,,,,,,,
Atlas,atls,,,,,,,,,,,
Primor,prmr,primr,prmor,,,,,,,,,
HopesEnd,he,hopes_end,hope,hopeend,hope_end,,,,,,,
Cormund,cormnd,cormond,crmnd,,,,,,,,,
Everra,evera,everr,evra,,,,,,,,,
Accoen,acoen,accen,accon,acn,,,,,,,,
JeolIr,jeol_ir,joel_ir,joelir,joeljr,joel_jr,joel_ir,jeol_jr,jeoljr,,,,
Kraag,krag,kraa,krg,,,,,,,,,
Siig,sig,,,,,,,,,,,
AlioPrima,alio_prima,ap,aloprima,alio,alip,aliop,,,,,,
Bakal,bkl,bakl,bkal,,,,,,,,,
Lisis,lis,,,,,,,,,,,
Velnor,vlnr,velnr,vlnor,,,,,,,,,
Cealdri,celdri,cldri,caldri,,,,,,,,,
Xanhact,xnhct,xnhact,xanhct,xct,,,,,,,,
VegaMajor,vgamj,,,,,,,,,,,
VegaMinor,vgamn,,,,,,,,,,,
Abaddon,abadon,abadd,,,,,,,,,,
Ashtroth,ashtros,ashtrot,,,,,,,,,,
Loki,lki,,,,,,,,,,,
Rigeli,rigel1,rigli,rigl1,,,,,,,,,
Rigeli,rigel2,riglii,rigl2,,,,,,,,,
Rigeliii,rigel3,rigliii,rigl3,,,,,,,,,
Mallice,mellice,malice,malis,mallis,mallic,,,,,,,
Mirage,mirag,miraj,miraje,mrag,,,,,,,,
